SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1	676.668	0.0679	9	15	8	273.926	-2.908	-0.36	12.731	-2.735	Yes	No	No	-0.287	0.245	-2.075	-5.229	No	No	No	No	No	No	No	0.053	No	No	0.352	No	Yes	2.389	5.611	No	No	0.285	4.439
O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	464.379	-0.5389	4	12	8	183.901	-3.046	-0.694	35.064	-2.735	Yes	No	No	-0.154	0.148	-1.904	-5.115	No	No	No	No	No	No	No	0.659	No	Yes	0.843	No	Yes	2.816	3.101	No	No	0.285	7.165
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O	392.499	5.081	2	3	3	170.341	-4.767	1.084	93.278	-2.778	Yes	Yes	Yes	-0.284	0	-0.71	-1.6	No	Yes	Yes	Yes	Yes	No	Yes	-0.069	No	No	0.105	No	Yes	2.182	2.026	Yes	No	0.358	-0.797
CCCS(=O)(=O)N1CCN(Cc2ccc(NC(=O)c3ccc(-c4cc(NC(=O)C5CC5)ccc4OC(F)(F)F)cc3)cc2)CC1	644.716	5.7104	11	6	2	259.956	-4.383	0.95	95.866	-2.735	Yes	Yes	Yes	0.265	0.096	-1.449	-2.529	No	Yes	No	Yes	Yes	No	Yes	0.162	No	No	-0.092	No	Yes	2.351	1.259	Yes	No	0.285	-0.525
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1	280.283	2.64348	3	4	3	120.951	-3.356	0.39	81.13	-3.069	Yes	No	No	-0.509	0.21	-0.554	-2.748	No	No	Yes	No	No	No	No	0.124	No	Yes	1.023	No	No	2.204	1.405	No	No	0.992	1.22
COc1ccc2c(c1)nc(S(=O)Cc1ncc(C)c(OC)c1C)n2S(=O)(=O)c1ccc(OCC(=O)O)cc1	559.622	3.07354	10	10	1	221.072	-2.894	0.228	56.21	-2.735	Yes	No	Yes	-0.552	0.337	-1.726	-4.06	No	Yes	No	No	Yes	No	No	-0.055	No	No	0.175	No	No	2.456	0.965	Yes	No	0.285	0.006
O=C(Nc1c[nH]nc1-c1nc2ccc(C[NH+]3CCOCC3)cc2[nH]1)NC1CC1	382.448	0.652	5	4	5	161.404	-2.892	-0.242	62.776	-2.735	Yes	No	No	0.074	0.365	-1.889	-4.728	No	No	No	No	No	No	No	1.48	Yes	Yes	0.489	No	Yes	2.482	1.468	No	No	0.285	4.029
Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1	703.836	3.86572	14	12	2	283.665	-3.94	0.302	77.949	-2.735	Yes	Yes	Yes	-0.381	0	-1.528	-3.912	No	Yes	No	No	Yes	No	Yes	0.605	No	No	0.264	No	Yes	2.684	1.491	Yes	No	0.285	-2.339
O=C(O)CCCNC=C1N=C(c2ccccc2)OC1=O	274.276	1.2858	6	5	2	115.332	-2.177	0.759	64.416	-2.836	Yes	No	No	-0.774	0.423	-0.551	-2.884	No	No	No	No	No	No	No	0.927	No	No	-0.175	No	No	2.275	1.344	Yes	No	0.617	3.29
Cc1cc(-n2nc3c(c2-n2ccn(-c4ccc5c(cnn5C)c4F)c2=O)[C@H](C)N(C(=O)c2cc4cc([C@H]5CCOC(C)(C)C5)ccc4n2[C@@]2(c4noc(=O)[nH]4)C[C@@H]2C)CC3)cc(C)c1F	882.973	7.44214	7	13	1	370.353	-2.892	-0.112	100	-2.735	Yes	Yes	Yes	-0.227	0.346	-2.233	-3.366	No	Yes	No	No	Yes	No	Yes	-0.059	No	Yes	0.422	No	Yes	2.484	1.394	No	No	0.285	-2.84
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1	336.391	3.14388	7	4	3	146.411	-3.955	0.414	79.438	-2.984	Yes	Yes	No	-0.403	0.114	-0.554	-2.736	No	Yes	Yes	Yes	No	No	Yes	0.332	No	No	0.98	No	No	2.021	1.679	Yes	No	0.879	0.332
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2	320.341	2.73322	6	5	2	133.889	-3.478	0.07	58.392	-2.729	No	No	No	-0.582	0.22	-0.514	-3.001	No	No	No	No	No	No	No	0.637	No	No	0.497	No	No	2.781	2.122	No	No	0.332	0.666
